,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
322,322,Gary Payton*,PG,38.0,MIA,68.0,28.0,22.1,2.1,5.4,0.39299999999999996,0.5,1.8,0.26,1.6,3.6,0.461,0.4370000000000001,0.6,0.8,0.667,0.3,1.7,1.9,3.0,0.6,0.0,1.0,1.7,5.3
323,323,Kendrick Perkins,C,22.0,BOS,72.0,53.0,21.9,1.8,3.7,0.491,0.0,0.0,0.0,1.8,3.7,0.496,0.491,0.8,1.4,0.6,1.6,3.6,5.2,1.3,0.3,1.3,1.6,3.0,4.5
324,324,Morris Peterson,SF,29.0,TOR,71.0,12.0,21.3,3.1,7.3,0.429,1.5,4.2,0.359,1.6,3.1,0.523,0.532,1.2,1.7,0.6829999999999999,0.5,2.9,3.3,0.7,0.6,0.2,0.7,1.8,8.9
325,325,Johan Petro,C,21.0,SEA,81.0,13.0,18.6,2.8,5.4,0.516,0.0,0.0,0.0,2.8,5.4,0.516,0.516,0.6,1.0,0.649,1.1,3.0,4.1,0.6,0.5,0.6,1.0,2.9,6.2
326,326,Eric Piatkowski,SG,36.0,PHO,11.0,0.0,6.6,0.8,2.3,0.36,0.6,1.6,0.389,0.2,0.6,0.28600000000000003,0.5,0.2,0.2,1.0,0.2,0.6,0.8,0.4,0.0,0.1,0.5,0.5,2.5
327,327,Paul Pierce,SG,29.0,BOS,47.0,46.0,37.0,7.9,18.1,0.439,2.3,5.9,0.389,5.7,12.2,0.46299999999999997,0.502,6.8,8.6,0.7959999999999999,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6,25.0
328,328,Mickaël Piétrus,SF,24.0,GSW,72.0,38.0,26.9,4.0,8.1,0.488,1.3,3.3,0.38799999999999996,2.7,4.8,0.5579999999999999,0.5670000000000001,1.9,2.9,0.648,1.1,3.4,4.5,0.9,0.7,0.8,1.5,3.1,11.1
329,329,Kevinn Pinkney,PF,23.0,BOS,6.0,0.0,16.7,2.0,4.5,0.444,0.2,0.3,0.5,1.8,4.2,0.44,0.46299999999999997,1.0,1.5,0.667,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2.0,5.2
330,330,Scot Pollard,C,31.0,CLE,24.0,0.0,4.5,0.5,1.1,0.423,0.0,0.0,0.0,0.5,1.1,0.423,0.423,0.1,0.2,0.5,0.6,0.7,1.3,0.1,0.2,0.0,0.2,1.1,1.0
331,331,James Posey,SF,30.0,MIA,71.0,19.0,27.0,2.6,6.1,0.431,1.4,3.6,0.375,1.3,2.4,0.514,0.5429999999999999,1.1,1.4,0.8270000000000001,0.9,4.1,5.0,1.3,1.0,0.3,0.8,2.7,7.7
332,332,Vitaly Potapenko,C,31.0,SAC,3.0,0.0,4.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,1.0,0.0
333,333,Leon Powe,C,23.0,BOS,63.0,2.0,11.4,1.3,2.8,0.446,0.0,0.0,0.0,1.3,2.8,0.451,0.446,1.7,2.3,0.736,1.5,1.9,3.4,0.2,0.2,0.3,0.7,1.7,4.2
334,334,Josh Powell,PF,24.0,TOT,37.0,0.0,9.5,1.2,2.5,0.462,0.0,0.0,0.0,1.2,2.5,0.462,0.462,0.8,1.1,0.7140000000000001,0.6,1.7,2.4,0.6,0.1,0.3,0.8,1.6,3.1
335,335,Roger Powell,SF,24.0,UTA,3.0,0.0,4.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.7,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7,0.7
336,336,Ronnie Price,PG,23.0,SAC,58.0,1.0,9.7,1.2,3.0,0.39,0.4,1.1,0.32299999999999995,0.8,1.8,0.43,0.451,0.6,0.9,0.6729999999999999,0.3,1.0,1.2,0.8,0.5,0.1,0.6,1.1,3.3
337,337,Tayshaun Prince,SF,26.0,DET,82.0,82.0,36.6,5.6,12.2,0.46,1.0,2.6,0.386,4.6,9.6,0.48,0.501,2.1,2.7,0.768,1.8,3.5,5.2,2.8,0.6,0.7,1.2,1.4,14.3
338,338,Joel Przybilla,C,27.0,POR,43.0,43.0,16.3,0.9,1.8,0.474,0.0,0.0,0.0,0.9,1.8,0.474,0.474,0.2,0.6,0.37,1.4,2.5,3.9,0.3,0.2,1.6,0.9,2.9,2.0
339,339,Chris Quinn,PG,23.0,MIA,42.0,1.0,9.7,1.1,3.1,0.366,0.5,1.4,0.35100000000000003,0.7,1.8,0.37799999999999995,0.44299999999999995,0.6,0.9,0.6759999999999999,0.1,0.6,0.7,1.5,0.4,0.0,0.5,0.8,3.4
340,340,Vladimir Radmanović,PF,26.0,LAL,55.0,15.0,17.9,2.4,5.7,0.424,0.7,2.1,0.33899999999999997,1.7,3.6,0.475,0.48700000000000004,1.0,1.3,0.726,1.0,2.3,3.3,1.2,0.5,0.3,1.3,2.3,6.6
341,341,Shavlik Randolph,PF,23.0,PHI,13.0,6.0,13.8,1.8,3.7,0.479,0.0,0.0,0.0,1.8,3.7,0.479,0.479,0.9,1.7,0.545,1.5,2.7,4.2,0.3,0.5,0.8,0.7,1.8,4.5
342,342,Zach Randolph,PF,25.0,POR,68.0,67.0,35.7,8.8,18.9,0.467,0.2,0.7,0.292,8.6,18.2,0.473,0.47200000000000003,5.8,7.1,0.8190000000000001,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6
343,343,Theo Ratliff,C,33.0,BOS,2.0,2.0,22.0,0.5,1.5,0.33299999999999996,0.0,0.0,0.0,0.5,1.5,0.33299999999999996,0.33299999999999996,1.5,2.0,0.75,1.0,2.5,3.5,0.0,0.5,1.5,0.5,3.0,2.5
344,344,Allan Ray,SG,22.0,BOS,47.0,5.0,15.1,2.1,5.5,0.386,1.0,2.5,0.414,1.1,3.0,0.364,0.479,0.9,1.2,0.764,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2
345,345,Michael Redd,SF,27.0,MIL,53.0,53.0,38.4,9.0,19.3,0.465,2.2,5.8,0.382,6.8,13.6,0.501,0.522,6.5,7.8,0.8290000000000001,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5,26.7
346,346,J.J. Redick,PG,22.0,ORL,42.0,0.0,14.8,1.9,4.6,0.41,0.9,2.3,0.38799999999999996,1.0,2.3,0.433,0.508,1.3,1.4,0.9,0.2,1.0,1.2,0.9,0.3,0.0,0.5,1.2,6.0
347,347,Justin Reed,PF,25.0,MIN,41.0,3.0,7.8,1.0,2.6,0.374,0.0,0.0,0.0,1.0,2.6,0.374,0.374,0.6,0.7,0.867,0.4,0.8,1.1,0.4,0.1,0.1,0.5,1.1,2.6
348,348,Jared Reiner,C,24.0,MIL,27.0,2.0,9.0,0.6,1.6,0.349,0.0,0.0,0.0,0.6,1.6,0.349,0.349,0.1,0.4,0.3,0.8,1.9,2.6,0.5,0.2,0.2,0.5,1.7,1.2
349,349,Jason Richardson,SG,26.0,GSW,51.0,49.0,32.8,6.0,14.4,0.41700000000000004,2.2,5.9,0.365,3.8,8.5,0.45299999999999996,0.4920000000000001,1.8,2.7,0.657,1.4,3.7,5.1,3.4,1.1,0.6,1.6,2.5,16.0
350,350,Jeremy Richardson,SG-SF,22.0,TOT,6.0,0.0,3.3,0.5,1.0,0.5,0.3,0.5,0.667,0.2,0.5,0.33299999999999996,0.667,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.2,0.0,0.2,0.3,1.3
351,351,Quentin Richardson,SF,26.0,NYK,49.0,47.0,33.1,4.7,11.1,0.418,2.0,5.3,0.376,2.7,5.9,0.456,0.507,1.7,2.4,0.6920000000000001,1.3,5.9,7.2,2.2,0.7,0.1,1.4,2.7,13.0
352,352,Luke Ridnour,PG,25.0,SEA,71.0,58.0,29.5,4.2,9.8,0.433,0.7,2.0,0.353,3.5,7.8,0.45299999999999996,0.46799999999999997,1.8,2.2,0.805,0.4,1.9,2.3,5.2,1.2,0.3,2.2,2.5,11.0
353,353,Anthony Roberson,PG,23.0,GSW,20.0,1.0,11.4,2.2,5.2,0.423,1.1,2.8,0.382,1.2,2.5,0.469,0.524,0.1,0.2,0.667,0.1,1.0,1.1,0.5,0.6,0.0,0.7,1.4,5.6
